NUMAR_ZBOR, DESTINATIE, ORIGINE, DATA_PLECĂRII, ORA_PLECĂRII, ORA_SOSIRII, DURATA_ZBORULUI_MINUTE, PRET,LOCURI_DISPONIBILE, TIP_AVION
FR8382, Roma, Bucuresti, 15/04/2024, 06:00, 08:45,165,130,150, Boeing 737
FR5537, Madrid, Cluj-Napoca, 18/04/2024, 09:30, 13:10,220,175,180, Airbus A320
FR6352, Dublin, Timisoara, 20/04/2024, 11:15, 15:00,225,150,160, Boeing 737-800
FR2948, Londra, Iasi, 22/04/2024, 07:45, 12:30,285,200,175, Airbus A320
FR8165, Paris, Sibiu, 25/04/2024, 08:00, 11:40,220,190,165, Boeing 737
FR4712, Berlin, Craiova, 27/04/2024, 10:30, 13:05,310,160,150, Airbus A320
FR9523, Atena, Constanta, 29/04/2024, 12:45, 15:20,310,140,160, Boeing 737-800
FR6427, Barcelona, Oradea, 01/05/2024, 14:00, 17:35,215,180,170, Airbus A321
FR3856, Viena, Bacau, 03/05/2024, 05:30, 08:00,150,125,155, Boeing 737
FR7854, Milano, Targu Mures, 05/05/2024, 13:20, 15:55,310,145,165, Airbus A320
FR2637, Lisabona, Galati, 07/05/2024, 17:00, 22:10,310,210,180, Boeing 737-800
FR8491, Bruxelles, Ploiesti, 09/05/2024, 18:15, 21:50,215,170,160, Airbus A321
FR4875, Copenhaga, Brasov, 11/05/2024, 09:45, 13:20,215,185,175, Boeing 737
FR6721, Oslo, Arad, 13/05/2024, 15:30, 19:05,215,165,150, Airbus A320
FR9382, Praga, Satu Mare, 15/05/2024, 06:10, 08:45,155,135,165, Boeing 737-800
